,formatted_data,seven_digit,duration,end_of_fade_in,key,key_confidence,loudness,mode,mode_confidence,start_of_fade_out,tempo,time_signature,time_signature_confidence,track_id
2205,Death From Above 1979 - Romantic Rights (Jesper Dahlback Remix),208104,344.842,0.0,11,0.569,-3.879,0,0.556,334.658,91.879,4,1.0,b'TRASFNS128F145247D'
2206,Carl Davis - Resolutions from The Long Day Closes,3187161,129.59302,3.396,4,0.457,-29.153,1,0.575,118.033,56.083,1,0.0,b'TRASFEI128F4269F12'
2207,Michael Card - Scandalon,771227,234.78812,0.0,2,0.05,-6.276,1,0.509,220.752,99.644,4,0.942,b'TRASFBL128EF34E274'
2208,Sizzla - Care,4890220,168.56771,0.0,1,0.0,-8.683,0,0.0,163.283,189.263,4,0.338,b'TRASFIH128F92F35EF'
2209,Tunsi - Outro,929968,71.31383,0.0,0,0.0,-9.592,0,0.0,71.314,86.064,4,0.846,b'TRASFNT128F4265904'
2210,Roger Williams - Around The World,6382092,177.24036,0.0,9,0.431,-23.161,1,0.389,163.881,110.232,3,1.0,b'TRASFQT12903CAAF5C'
2211,Willie Clayton - Scandalous (Soul and R&B),6684561,249.23383,0.34,1,0.394,-5.442,1,0.446,238.353,90.963,4,0.99,b'TRASFNK12903CF4195'
2212,Loudon Wainwright III - Rowena,6163761,152.13669,0.177,0,0.669,-12.464,1,0.696,146.135,151.294,1,0.743,b'TRASFAV128F93428A4'
2213,20/20 - So Many Reasons,6554668,206.81098,0.0,6,0.514,-8.458,0,0.57,191.338,134.173,4,0.0,b'TRASFDP12903CD475A'
2214,Converge - Locust Reign (Live in California),5981679,99.99628,0.357,10,0.142,-3.83,1,0.36,99.996,133.549,3,0.505,b'TRASOPN128F9316701'
2215,Johannes Linstead - Caja De Cerillas,3637846,298.10893,0.09,9,0.487,-8.577,0,0.449,281.466,179.978,4,0.569,b'TRASOHB128F92D88B6'
2216,Kate Maki - I'll Be Here in the Morning,6906674,177.52771,0.403,0,0.446,-15.783,1,0.579,173.041,149.587,4,0.0,b'TRASODE128F930F19A'
2217,Otis Spann - Spann's Boogie,2291365,134.89587,0.432,0,0.299,-25.654,1,0.271,128.621,162.683,1,0.564,b'TRASOCX128F4271AB9'
2218,The Who - Anyway_ Anyhow_ Anywhere,149190,169.66485,0.363,2,0.566,-8.302,1,0.647,169.665,140.66,4,0.715,b'TRASOUI128E078F152'
2219,Thomas Dolby - Windpower (2009 Digital Remaster),5556639,259.18649,8.15,6,0.441,-11.591,0,0.488,259.186,128.47,4,0.758,b'TRASOTO128F9325223'
2220,Inspiral Carpets - Uniform (Scripka Mix),639484,230.5824,0.491,2,0.877,-12.166,1,0.776,221.455,131.875,4,0.499,b'TRASOQQ128F14A7968'
2221,Elakelaiset - Pottajenkka,1855261,218.27873,0.0,11,0.722,-13.231,0,0.589,218.279,131.868,1,0.0,b'TRASONX128F429BE8C'
2222,Le Vangle - Ronde Lune,2151755,258.2722,1.1,0,0.471,-4.667,0,0.517,252.848,151.311,4,0.247,b'TRASOHJ128F42512B1'
2223,Line Renaud - Ne Reste Que L'Amour (Only Love),3277917,207.04608,2.276,2,0.619,-13.47,1,0.509,199.268,76.222,4,0.141,b'TRASOVL128F427F7AB'
2224,Yuridia - Sin Ti,5718322,213.02812,0.502,6,0.852,-7.112,1,0.739,199.808,133.979,4,0.199,b'TRASOEA128F934BF50'
2225,Embrace the End - Intensity In Ten Cities,8195148,247.48363,0.091,7,0.714,-3.402,1,0.506,245.063,231.851,5,0.592,b'TRASOQC12903CFFED7'
2226,Al Denson - The Arms That Won't Let Go (The Pillow Song)/Great Is Thy Faithfulness,3312095,297.58649,0.52,11,0.0,-9.104,0,0.114,286.859,135.968,4,0.273,b'TRASOHG128F4287A68'
2227,Enuff Z 'Nuff - Fly High Michelle,2677364,277.28934,0.433,2,0.596,-4.437,1,0.57,264.963,90.459,1,0.0,b'TRASOFS128F4243346'
2228,Vilma Palma e Vampiros - Verano traidor,1014890,411.97669,0.242,7,0.597,-7.202,1,0.28,401.519,102.129,4,1.0,b'TRASOWA128F427A1B6'
2229,Tito Rodriguez - En La Soledad,6839410,222.98077,0.376,7,0.305,-15.649,0,0.439,215.133,88.765,4,0.271,b'TRASOQY128F92FEC9F'
2230,Dave Hollister - One Woman Man,161844,271.62077,0.0,4,0.33,-7.493,1,0.372,253.678,91.003,4,0.796,b'TRASHZB128E0791E81'
2231,3OH!3 - CHOKECHAIN (Amended Album Version),3924560,211.66975,0.165,11,0.175,-4.806,0,0.323,211.67,145.88,4,0.623,b'TRASHYD128F93119EE'
2232,Sportsguitar - Fish,4691902,231.00036,0.496,4,1.0,-7.054,1,0.77,218.343,142.192,4,0.0,b'TRASHAE128F933915A'
2233,True Believers - Stranger,2705133,203.12771,0.0,1,0.791,-4.715,1,0.822,197.817,125.177,3,1.0,b'TRASHBA128F424942D'
2234,The Strokes - Meet Me In The Bathroom,2948889,177.18812,0.129,7,0.67,-3.994,1,0.79,166.76,93.315,5,0.673,b'TRASHPV128F4281CB1'
2235,Alicia Keys - Wait Til You See My Smile,7352862,240.22159,0.197,7,0.414,-9.736,1,0.35,226.783,119.959,4,1.0,b'TRASHSN12903CA9E34'
2236,Charlie Louvin - Don't Laugh,2928534,142.99383,0.397,7,0.057,-16.584,0,0.222,137.642,108.873,4,1.0,b'TRASHYS128F427CD96'
2237,Killers - Children Of The Revolution,2434690,218.8273,0.485,6,0.031,-4.294,1,0.351,199.082,128.951,4,0.19,b'TRASHIP128F428FC4B'
2238,2 Minutos - 2 Minutos,2295833,83.12118,0.599,0,0.315,-1.674,1,0.42,83.121,168.231,4,0.0,b'TRASMER128F4272C1D'
2239,Sam Baker - I Can't Break Away,4162735,141.84444,0.116,8,0.736,-15.6,1,0.469,132.812,145.525,3,0.95,b'TRASMWP128F92CE9CE'
2240,Orbital - Adnans,2315199,521.56036,0.148,7,0.307,-10.893,1,0.417,508.006,101.99,4,0.777,b'TRASMUR128F42775D6'
2241,John Hammond - Southbound Blues,6378554,201.92608,0.241,9,0.793,-13.253,1,0.606,197.886,92.122,1,0.0,b'TRASMYK12903CAA1B7'
2242,Max Stalling - Band Intro/ Pila Song Intro,2941408,37.77261,0.0,2,0.228,-12.316,1,0.298,35.033,107.597,1,0.0,b'TRASMFP128F427FFA8'
2243,Robin Beanland - Test Of The Terrarium,5999590,140.7473,0.131,10,0.034,-18.002,0,0.31,125.742,120.02,1,0.0,b'TRASMVX128F931AC3C'
2244,Dark Fortress - Incide,8139764,320.44363,0.0,7,0.0,-14.148,1,0.0,320.444,152.6,5,1.0,b'TRASJRH12903CF2689'
2245,UFO - Rock Bottom / Shoot Shoot,7388625,695.03955,0.386,0,0.325,-13.093,1,0.404,676.13,142.981,4,0.804,b'TRASJAY12903CB26CE'
2246,MIMS - This Is Why I'm Hot (The Original) (Single Version) (Edited),579211,258.92526,0.566,10,0.117,-4.376,0,0.176,252.836,159.989,4,0.871,b'TRASJIY128F149998B'
2247,Kristine W. - I'll Be Your Light (Ian Nieman Remix),7876710,533.89016,0.345,0,0.438,-5.253,1,0.416,527.314,132.049,4,0.212,b'TRASJMP12903CB26E8'
2248,Vinícius de Moraes - Minha Namorada,4514620,243.53914,0.235,11,0.302,-17.669,0,0.243,239.549,62.776,5,0.514,b'TRASJMT128F9314118'
2249,Jamie Richards - Turn It Up,2939851,269.84444,0.163,10,0.852,-7.183,1,0.754,258.177,115.079,4,1.0,b'TRASJND128F427F993'
2250,Liquid Stranger - Drop Sacrifice,2512805,249.49506,0.084,9,0.729,-11.727,1,0.527,239.92,136.936,4,0.0,b'TRASJHN128F421E3F1'
2251,Los Del Sol - Club Tropicana,4637341,232.202,0.288,10,0.013,-6.72,1,0.2,220.143,116.878,4,0.465,b'TRASJCQ128F932D0BE'
2252,Kim Wilson - Got To Let You Go,2620243,555.54567,2.026,3,0.0,-11.96,1,0.171,545.582,163.085,4,0.592,b'TRASJND128F423587C'
2253,Trick Trick / Eminem - Welcome 2 Detroit,398804,263.00036,0.374,10,0.536,-5.113,0,0.609,255.379,91.101,4,1.0,b'TRASJNR128F14795F7'
2254,Jimi Hendrix - Hear My Train A Comin',8471248,449.74975,0.0,8,0.912,-8.239,1,0.667,446.74,146.77,1,0.0,b'TRASCWR12903CCC575'
2255,Moss - Common Ground,7668721,484.62322,0.357,7,0.275,-9.09,1,0.462,478.557,115.091,5,0.586,b'TRASCMU12903CF68BA'
2256,Michèle Bernard - Le mouton dans la baignoire,8609950,253.64853,0.195,10,0.668,-11.355,0,0.669,238.492,85.435,4,0.265,b'TRASCTT12903CEE207'
2257,Shanadoo - Ninja Tattoo,1307468,200.88118,0.177,0,0.626,-4.594,1,0.275,193.138,137.923,4,0.04,b'TRASCMB128F422B871'
2258,Willy DeVille - Runnin' Through The Jungle - Shootin' The Blues,1413583,227.81342,3.744,0,0.0,-9.46,1,0.098,219.051,141.999,4,0.545,b'TRASCXB128F423D3E7'
2259,Epitaph - Outside The Law,956749,488.17587,0.0,4,0.669,-6.183,0,0.606,485.32,141.192,4,0.307,b'TRASCGS128F426C1AF'
2260,Irma Thomas - Hold Me While I Cry,4368478,205.29587,0.369,10,0.572,-14.526,1,0.606,196.36,112.109,3,1.0,b'TRASCTM128F92F6F3A'
2261,Lost Boyz - What's Wrong,151791,250.27873,0.0,1,0.687,-11.657,1,0.52,250.279,98.431,4,0.817,b'TRASCAU128E078FB37'
2262,Pietari Inkinen - The Dryad_ Op. 45_ No. 1,7704326,344.73751,2.932,2,0.561,-27.284,1,0.633,335.197,61.78,4,0.446,b'TRASCPM12903CFF389'
2263,Aftermath - 9:2,4010255,376.89424,0.096,4,0.552,-4.605,0,0.408,372.1,87.006,4,0.629,b'TRASCXA128F9323581'
2264,Arkona - Chiornie Debri Voini (The Black Abyss of War),6356693,266.65751,0.0,5,0.408,-7.255,1,0.435,262.589,160.059,4,0.537,b'TRASCUS12903CA4D22'
2265,Michèle Arnaud - Ballade Des Oiseaux De Croix,369319,122.27873,0.322,0,0.386,-13.828,0,0.452,116.175,95.264,3,0.282,b'TRASCAH128F147371F'
2266,Chris Brown - Help Me,3124278,197.09342,5.822,11,0.137,-6.45,1,0.21,185.4,89.966,4,1.0,b'TRASDYA128F425E84F'
2267,Scott Wesley Brown - I Stand Here Forgiven,669402,178.88608,0.0,2,0.43,-7.695,1,0.519,175.967,170.064,3,0.909,b'TRASDMZ128F14AE001'
2268,Polkaholix - Krause seine Kreuzpolka,1553308,196.93669,0.363,2,0.264,-4.586,1,0.339,193.144,118.892,4,1.0,b'TRASDIH128F425B6CF'
2269,Generation X - English Dream (2002 Digital Remaster),284707,299.80689,0.0,9,0.864,-5.341,1,0.795,289.007,131.635,4,0.482,b'TRASDPA128F1462AB8'
2270,David Tao - Susan Said,2094505,261.74649,0.444,11,0.566,-6.966,0,0.689,249.289,158.029,4,0.922,b'TRASDMK128F4243937'
2271,Isabel Pantoja - Como Nadie Te He Querido,3467194,263.33995,0.0,9,0.639,-7.814,0,0.571,263.34,98.739,1,0.372,b'TRASDON128F42AD04D'
2272,Billy Bragg - Loving You Too Long,2410127,173.50485,0.16,7,0.617,-7.339,1,0.647,165.901,83.481,4,0.0,b'TRASDRJ128F428B1A7'
2273,DJ Harry - Tragedy in Blue,8290819,299.98975,0.0,1,0.664,-6.573,1,0.587,294.214,122.829,4,1.0,b'TRASDUS12903CA0686'
2274,Anti-Flag - On Independence Day,5213843,171.59791,0.096,10,0.591,-5.829,0,0.463,155.597,152.273,4,0.027,b'TRASDGG128F933EDE2'
2275,Paramore - Emergency (Album Version),439924,243.51302,2.467,9,0.724,-4.413,1,0.649,230.51,167.971,4,0.473,b'TRASDOI128F1480E28'
2276,Ivan Parker - No One Ever Cared For Me Like Jesus,3835419,176.09098,0.373,0,0.147,-16.498,1,0.256,166.806,69.994,3,0.79,b'TRASDRQ128F92FF8A7'
2277,Negura Bunget - Al Doilea Om,859835,123.66322,2.09,2,0.026,-19.586,1,0.423,118.451,127.719,4,0.0,b'TRASVZZ128EF35EB69'
2278,Tin Hat Trio - Willow Weep For Me (With Willie Nelson),6706917,276.58404,0.723,5,0.747,-12.614,1,0.565,266.635,91.681,3,0.828,b'TRASVXI12903CF98CD'
2279,Usher - Hey Daddy (Daddy's Home),8477031,224.10404,0.0,11,0.372,-4.328,1,0.414,220.189,95.998,4,1.0,b'TRASVOH12903CCDC0B'
2280,George Huff - Have Yourself A Merry Little Christmas (LP Version),71551,249.49506,0.334,7,0.61,-11.08,1,0.684,224.839,183.205,3,0.829,b'TRASVNS128E07855BF'
2281,Vickie Winans - Stand Up and Praise Him,7644599,299.36281,0.0,5,0.375,-8.375,0,0.512,299.363,113.894,4,0.456,b'TRASVWF12903CF0A99'
2282,Protein - Karottensaft,7999115,214.09914,0.154,2,0.614,-15.299,1,0.424,201.433,126.011,4,1.0,b'TRASVHR12903CD01C9'
2283,Bloc Party - One More Chance,6936443,166.26893,0.0,9,0.536,-6.78,0,0.437,166.269,127.154,4,0.747,b'TRASVKL128F931652A'
2284,Schizoid - Ruby Marlowe,5283598,260.23138,4.992,1,0.164,-17.838,1,0.159,242.753,96.366,3,1.0,b'TRASVHW128F92E3A4B'
2285,Midge Ure - Four,660542,287.52934,0.316,2,0.56,-4.727,1,0.544,282.453,97.982,4,0.373,b'TRASVRH128F14AC24A'
2286,Kevin Max - I Saw Three Ships,848758,113.00526,0.996,8,0.347,-11.333,1,0.494,106.551,114.209,3,1.0,b'TRASVIN128EF35C023'
2287,Spinal Tap - Big Bottom,5698945,218.20036,0.0,10,0.021,-7.643,1,0.45,211.661,112.06,4,0.0,b'TRASVXM128F934792B'
2288,Miguel Migs - The One,299435,284.60363,0.084,11,0.252,-6.308,0,0.432,270.147,104.988,4,0.664,b'TRASVHD128F1465963'
2289,Charlie Byrd - Chim Chim Cheree,2716123,471.43138,0.4,11,0.468,-17.502,1,0.419,464.306,82.039,1,0.206,b'TRASVJJ128F424BEDF'
2290,Belphegor - The Sukkubus Lustrate,2331223,178.15465,2.467,2,0.015,-1.493,1,0.282,178.155,120.026,3,0.23,b'TRASQBA128F427B273'
2291,John Holt - I'll Take A Melody,8399393,225.07057,0.322,6,0.836,-16.582,1,0.543,214.146,165.183,4,0.0,b'TRASQED12903CBAD54'
2292,Jennifer Lopez - Ain't It Funny,3165056,246.20363,0.874,2,0.542,-4.821,1,0.484,226.853,99.831,4,0.884,b'TRASQIB128F426693D'
2293,Kim English - Love That Jazz (Basements Boys Album Vers),410422,198.73914,0.141,7,0.015,-6.735,1,0.381,184.5,125.008,4,1.0,b'TRASQFY128F147B760'
2294,Outerspace - Fire and Ice,1746465,242.78159,0.221,7,0.296,-4.974,1,0.56,232.716,96.716,4,1.0,b'TRASQLJ128F4288DD0'
2295,Ray Davies - See My Friends,7314205,222.79791,2.397,4,0.773,-15.646,1,0.694,212.294,106.895,4,0.63,b'TRASQCW12903CA07D9'
2296,Steve Vai - The Attitude Song,3282639,693.57669,0.0,2,0.412,-5.185,1,0.476,663.22,116.055,1,0.566,b'TRASQHA128F4280A1D'
2297,J. Peter Robinson - Jake,294146,161.59302,0.0,0,0.381,-17.319,0,0.624,156.775,159.973,4,0.459,b'TRASQRN128F1464712'
2298,John Davis & Emma Doyle - Mary's Boy Child,8282876,184.86812,0.508,4,0.743,-13.751,1,0.7,178.411,120.026,4,0.241,b'TRASXYW128F92FCD52'
2299,Heavenly - Smile,2360530,234.60526,0.705,2,0.757,-8.339,1,0.747,231.253,69.965,4,0.0,b'TRASXZE128F427F156'
2300,Mighty Mighty Bosstones - They Came To Boston,5656439,211.33016,0.351,9,0.721,-9.944,1,0.65,200.371,205.559,1,0.0,b'TRASXHB128F933D3BD'
2301,Pyranja - Nie Wieder (Live Version),7925044,167.54893,0.258,4,0.449,-5.907,0,0.374,154.912,68.86,1,0.996,b'TRASXPE12903CBE1D2'
2302,Jackie Davis - Love Is Just Around The Corner (1996 Digital Remaster),5707378,166.39955,0.397,0,0.208,-16.422,0,0.934,162.923,134.3,4,0.0,b'TRASXEL128F93499DF'
2303,Johnny Pacheco - Mi Musica Es Para Ti - Original,4140463,183.35302,0.15,0,0.296,-13.266,0,0.312,175.897,116.862,4,0.405,b'TRASXGY128F92C9FC1'
2304,Sick Of It All - Sanctuary,6177585,109.00853,0.0,7,0.056,-3.904,1,0.535,109.009,196.327,4,0.0,b'TRASXSI128F9345EA2'
2305,Orlando Pops Orchestra - Strangers In The Night,8420437,207.67302,3.262,11,0.582,-11.954,1,0.632,196.087,80.188,1,0.714,b'TRASXOT12903CBFF5A'
2306,Gerald Clayton - Two Heads One Pillow,6433607,384.15628,0.149,10,0.249,-14.153,1,0.189,371.978,95.938,1,0.018,b'TRASXOW12903CB7528'
2307,Naseebo Lal - Pehle To Kabhi Gham Tha,5284814,398.0273,2.136,11,0.062,-12.411,0,0.365,390.931,88.014,3,0.67,b'TRASXXQ128F92E3EED'
2308,Van Gelder - Saints & Sinners,8652656,474.61832,0.0,9,0.529,-7.234,0,0.444,466.506,209.752,4,0.0,b'TRASXUR12903CF8860'
2309,Blackalicious - World Of Vibrations (Album Version),1096775,302.94159,0.374,8,0.309,-7.625,1,0.334,302.942,116.682,5,1.0,b'TRASXYB128F428DFF3'
2310,Glad - My Jesus_ I Love Thee,6453467,211.69587,1.221,2,0.126,-16.705,1,0.54,189.626,52.464,7,0.925,b'TRASXMX12903CBC0D4'
2311,Nestor Torres - Ain't No Sunshine,6663842,286.53669,0.38,9,0.686,-10.222,0,0.551,275.667,150.028,4,0.313,b'TRASEAT12903CEF0B3'
2312,Sammi Cheng - Ai Shi...,459339,126.82404,0.0,4,0.865,-9.059,1,0.679,126.824,104.25,4,1.0,b'TRASBFV128F1483E40'
2313,Amorphis - Crimson Wave,2842528,285.46567,0.229,2,0.205,-5.067,1,0.435,274.872,108.039,4,0.732,b'TRASBZK128F42692CA'
2314,Patrick Samson - Io Che Non Vivo Senza Te,5824727,101.85098,3.239,5,0.439,-17.073,1,0.185,92.276,116.243,3,1.0,b'TRASBQL128F92F0777'
2315,Junior Kimbrough - All Night Long (Instumental),9007562,384.57424,0.386,8,0.699,-9.841,1,0.535,373.83,83.706,4,0.0,b'TRASBVS12903CDB231'
2316,FSTZ - Facemelt,6853999,280.58077,0.0,8,0.335,-12.597,1,0.441,274.083,140.007,4,0.0,b'TRASBME128F9302529'
2317,M83 - I'm Happy She Said,299712,1071.882,0.078,4,0.879,-6.1,0,0.707,1043.458,90.264,4,0.757,b'TRASBSO128F1465A78'
2318,Alicia Keys - If I Ain't Got You,8147618,231.18322,2.31,7,0.55,-8.414,1,0.566,212.643,118.273,4,0.0,b'TRASBVS12903CF4537'
2319,Dj Kun - Spaniolandia,355989,219.74159,0.0,0,0.754,-8.522,1,0.596,213.02,199.955,4,0.283,b'TRASBDT128F1470F0D'
2320,Ken Chu - Dai Wo Li Kai,6008924,281.93914,0.125,10,0.731,-6.923,1,0.726,273.096,140.082,4,0.166,b'TRASBTO128F931D070'
2321,Rene Touzet - Delirio,903955,198.922,0.406,1,0.141,-16.034,1,0.368,180.982,111.493,4,0.106,b'TRASBVE128F425F34E'
2322,Black Sheep - Novakane Groove,5179990,248.37179,0.338,1,0.394,-5.531,1,0.274,235.439,89.145,4,1.0,b'TRASBCH128F93369B6'
2323,Kooii - Here_ Swing_ Sing,5189879,391.00036,0.115,7,0.578,-10.775,1,0.573,382.409,112.93,4,0.715,b'TRASBUV128F933904E'
2324,Pablo Montero - Cuando Calienta El Sol,3469698,187.14077,5.097,7,0.0,-7.006,1,0.23,179.635,96.107,4,1.0,b'TRASKOZ128F42ADA15'
2325,Stefon Harris - Alovi,1136471,326.60853,0.196,2,0.516,-14.43,0,0.594,313.406,131.936,4,0.0,b'TRASKLF128F42946DE'
2326,The Ataris - Whatever Lies Will Help You Rest,3808983,212.89751,0.0,4,0.112,-5.038,0,0.455,203.413,151.949,4,0.843,b'TRASKII128F92FA33E'
2327,Michael Card - Joy In The Journey (The Final Word Album Version),396828,181.91628,0.12,6,0.704,-10.156,1,0.741,172.785,115.407,3,0.885,b'TRASKUE128F1478ECF'
2328,Lou Busch - The Wild Ones (1996 Digital Remaster),311744,147.30404,0.392,0,0.405,-11.776,1,0.401,143.952,138.079,4,0.569,b'TRASKIQ128F14684FF'
2329,Roger Williams - Indiscreet,6430031,175.98649,0.988,0,0.643,-15.89,1,0.623,168.594,103.465,3,0.873,b'TRASKVG12903CB6730'
2330,Yami Bolo - Healing of All Nations,8562823,214.30812,0.148,1,0.149,-7.919,1,0.219,207.917,139.037,4,0.06,b'TRASKRI12903CE2A7A'
2331,Ray Barretto - Guarare,8041849,335.22893,0.0,8,0.464,-6.39,1,0.348,331.674,138.367,1,0.0,b'TRASKSG12903CDA87C'
2332,Silkie Ft. Harry Craze - Head Butt Da Deck,7969519,365.76608,0.241,1,0.24,-8.678,1,0.334,355.985,140.02,4,0.548,b'TRASKHI12903CC8F27'
2333,Eldar - Estate,6265104,379.19302,0.0,2,0.573,-22.737,1,0.537,360.832,75.115,5,0.842,b'TRASKBC128F9305D7D'
2334,Broadcast - Downstream,3889501,179.30404,0.461,2,0.802,-28.138,1,0.693,159.057,138.986,4,0.99,b'TRASKYR128F930A576'
2335,Roger Clyne & The Peacemakers - Mile High and Risin',5198349,170.81424,0.0,11,1.0,-5.029,1,0.799,166.156,149.01,4,0.641,b'TRASLVU128F933B160'
2336,The American Boychoir - Watt's Cradle Song,834778,329.03791,0.456,8,0.768,-27.115,1,1.0,294.452,72.788,4,0.169,b'TRASLLI128EF359219'
2337,Frank Chacksfield - Terry's Theme from Limelight,7787389,140.43383,0.624,5,0.924,-17.089,1,0.765,132.911,69.782,1,0.0,b'TRASLTD128F92F9E1F'
2338,Anne Dudley - A Stepmother's Curse,2049900,184.39791,0.212,5,0.568,-18.995,1,0.64,168.966,137.699,5,0.368,b'TRASLUV128F423DA7B'
2339,Noisettes - Bridge To Canada,722869,205.06077,0.0,2,0.559,-2.912,0,0.586,201.607,119.501,4,0.689,b'TRASLHI128EF343C84'
2340,David Bowie - Moss Garden (1999 Digital Remaster),13080,305.05751,0.0,1,0.94,-16.599,1,0.63,300.884,221.658,4,0.639,b'TRASLMY128E0782D6A'
2341,Zuma - Deep Into The Day,7831153,231.00036,2.798,11,0.458,-6.354,0,0.587,222.993,119.95,4,0.436,b'TRASLWL12903CA752D'
2342,Sundial Aeon - love shelter,8063343,459.93751,0.0,5,0.393,-11.791,0,0.459,459.938,90.009,4,0.435,b'TRASLGT12903CDFC6C'
2343,Gustavo Cerati - La Excepcion,5736160,251.66322,0.0,9,0.603,-4.576,1,0.644,245.557,125.987,4,0.942,b'TRASLVK128F935046C'
2344,The Killers - Mr. Brightside (Jacques Lu Cont's Thin White Duke Mix),1508352,527.98649,0.311,1,0.764,-8.361,1,0.664,522.466,134.02,4,0.0,b'TRASYQQ128F425092B'
2345,Jo-El Sonnier - Precious Lord_ Take My Hand,2897747,214.282,0.253,0,1.0,-8.52,1,0.866,205.311,138.279,3,0.799,b'TRASYZS128F4275671'
2346,Richie Ray & Bobby Cruz - Guaguanco Raro,2120775,418.53342,0.0,10,0.752,-7.616,0,0.642,394.797,105.75,4,0.352,b'TRASYBF128F4249F28'
2347,The Fontane Sisters - The Tennessee Waltz,8310349,149.99465,0.984,6,0.527,-12.442,1,0.604,139.976,86.464,4,0.0,b'TRASYEF12903CA52A8'
2348,Candlebox - Breathe Me In,8233808,312.842,0.0,1,0.479,-5.968,0,0.603,301.97,130.35,4,0.757,b'TRASYVP12903D09590'
2349,Circle Jerks - Group Sex,6793522,63.52934,0.334,4,0.972,-8.562,1,0.588,58.903,162.384,1,0.0,b'TRASYSY128F92F39F5'
2350,Peter Hunnigale - Ordinary Lives,3885532,228.10077,0.357,9,0.145,-7.103,0,0.298,213.339,168.049,4,0.0,b'TRASYQN128F9309915'
2351,Tyrone Davis - Sugar Daddy,2754579,247.77098,0.305,10,0.024,-9.522,0,0.479,236.46,93.734,4,1.0,b'TRASYVY128F4254487'
2352,Nick Jonas & The Administration - State of Emergency,7741786,214.72608,0.215,4,0.641,-4.38,1,0.576,211.325,92.105,4,0.858,b'TRASYIH12903D08529'
2353,Barbara Fairchild - Jezebel,3835355,216.39791,0.398,8,0.547,-9.735,0,0.534,206.042,149.748,4,0.827,b'TRASYTJ128F92FF867'
2354,Jeff Johnson - Contours,5885096,433.97179,0.235,7,0.037,-15.382,1,0.427,420.194,42.486,4,0.552,b'TRASYJN128F92FF293'
2355,The Panic Channel - Said You'd Be,437192,153.25995,0.0,2,0.505,-2.648,1,0.319,148.468,143.224,1,0.0,b'TRASYWM128F14804A5'
2356,Gang Of Four - Is It Love,173611,273.99791,0.402,1,0.51,-17.763,1,0.522,260.383,117.0,4,0.783,b'TRASYLV128E0794878'
2357,Bukka White - Aberdeen Blues,657950,150.04689,0.32,9,0.493,-14.166,1,0.216,146.233,101.772,4,0.775,b'TRASYLN128F14AB9B9'
2358,Mons Leidvin Takle - Ømhet,7862541,162.82077,0.392,2,0.252,-17.204,1,0.209,148.393,168.106,3,0.91,b'TRASYLH12903CAEFB0'
2359,Hot Club Of Detroit - God Rest Ye Merry Gentlemen,2497556,371.04281,0.27,2,0.63,-18.226,0,0.825,357.669,124.122,1,0.343,b'TRASYDM128F421A907'
2360,Geier Sturzflug - Schwarzarbeit,650352,214.20363,1.112,6,0.282,-4.533,1,0.533,206.994,116.032,4,0.0,b'TRASPBJ128F14A9F56'
2361,Charlie Peacock - Forgiveness (Love Life Album Version),1542429,295.20934,0.254,10,0.571,-10.813,1,0.628,281.437,132.758,5,0.679,b'TRASPVN128F4258C62'
2362,Dijous Paella - Que Arribi L'Estiu,2300694,253.93587,0.0,4,0.457,-5.198,0,0.142,243.09,103.991,4,0.745,b'TRASPQA128F4273D22'
2363,Beatnuts featuring Tony Touch - Cocotaso featuring Tony Touch,3187847,135.13098,0.0,7,0.095,-10.383,1,0.406,123.646,161.739,4,1.0,b'TRASPXS128F426A1C0'
2364,Cinder - Seven (Album),492042,167.18322,0.148,3,0.139,-4.183,0,0.28,157.936,116.064,4,0.901,b'TRASPDG128F1489FAF'
2365,Les Ogres De Barback - Grand-mère,4703076,221.3873,0.382,2,0.12,-7.467,1,0.187,216.944,182.376,4,0.0,b'TRASPZQ128F933BBDA'
2366,MC5 - Intro 2/ Kick Out The Jams (LP Version),684438,172.30322,0.0,9,0.395,-10.219,1,0.56,172.303,145.514,1,0.0,b'TRASPTN128F14B0EF2'
2367,Roberto Roena - Let It Rain,8109225,177.31873,0.0,3,0.107,-8.404,0,0.335,177.319,99.494,4,0.785,b'TRASPAO12903CEAF4C'
2368,Jars Of Clay - The Burden of Hope,6678973,113.21424,0.345,1,0.0,-17.231,0,0.0,109.343,38.416,4,0.0,b'TRASPBY12903CF2BC9'
2369,Bob Marley & The Wailers - Smile Jamaica,143908,307.61751,1.035,11,0.944,-8.252,0,0.775,298.806,146.581,1,0.0,b'TRASPAS128E078DFB3'
2370,Porter Wagoner - Angel Band,4186864,152.34567,0.0,4,0.922,-14.761,1,0.839,144.544,136.129,4,0.0,b'TRASPZN128F92D278C'
2371,SAF - Recept,807900,274.41587,0.242,2,0.39,-10.467,1,0.184,250.265,78.033,7,0.917,b'TRASPVQ128EF35454C'
2372,Taking Back Sunday - Catholic Knees (Album Version),5261967,168.25424,0.066,11,0.381,-3.566,1,0.53,160.729,131.018,1,0.324,b'TRASPCN128F92DE67E'
2373,089 Clique feat. Minnesota Snipe & Skinny Cueball - M-Town 2 M-Town,4368327,213.68118,4.714,9,0.0,-7.765,0,0.0,209.409,160.159,4,0.408,b'TRASPVS128F92F6EA3'
